 year doy hour dst
 2021 13 12 -21
 2021 13 13 -20
 2021 13 14 -17
 2021 13 15 -15
 2021 13 16 -16
 2021 13 17 -15
 2021 13 18 -14
 2021 13 19 -12
 2021 13 20 -7
 2021 13 21 -4
 2021 13 22 -3
 2021 13 23 -3
 2021 14 0 -1
 2021 14 1 -2
 2021 14 2 -2
 2021 14 3 -4
 2021 14 4 -6
 2021 14 5 -6
 2021 14 6 -4
 2021 14 7 -4
 2021 14 8 -4
 2021 14 9 -3
 2021 14 10 -1
 2021 14 11 0
 2021 14 12 0
 2021 14 13 2
 2021 14 14 0
 2021 14 15 -1
 2021 14 16 -2
 2021 14 17 -2
 2021 14 18 -1
 2021 14 19 0
 2021 14 20 -1
 2021 14 21 3
 2021 14 22 2
 2021 14 23 3
 2021 15 0 1
 2021 15 1 -1
 2021 15 2 3
 2021 15 3 3
 2021 15 4 4
 2021 15 5 4
 2021 15 6 2
 2021 15 7 1
 2021 15 8 0
 2021 15 9 -3
 2021 15 10 -3
 2021 15 11 -1
 2021 15 12 1
 2021 15 13 2
 2021 15 14 -2
 2021 15 15 -1
 2021 15 16 2
 2021 15 17 0
 2021 15 18 -2
 2021 15 19 1
 2021 15 20 4
 2021 15 21 6
 2021 15 22 7
 2021 15 23 7
 2021 16 0 6
 2021 16 1 5
 2021 16 2 7
 2021 16 3 5
 2021 16 4 5
 2021 16 5 4
 2021 16 6 2
 2021 16 7 1
 2021 16 8 0
 2021 16 9 -1
 2021 16 10 1
 2021 16 11 4
 2021 16 12 2
 2021 16 13 0
 2021 16 14 -2
 2021 16 15 -2
 2021 16 16 -3
 2021 16 17 -5
 2021 16 18 -4
 2021 16 19 -4
 2021 16 20 -3
 2021 16 21 -4
 2021 16 22 -5
 2021 16 23 -5
 2021 17 0 -3
 2021 17 1 -2
 2021 17 2 -1
 2021 17 3 -4
 2021 17 4 -6
 2021 17 5 -5
 2021 17 6 -4
 2021 17 7 -3
 2021 17 8 -4
 2021 17 9 -6
 2021 17 10 -6
 2021 17 11 -5
 2021 17 12 -4
 2021 17 13 -3
 2021 17 14 -3
 2021 17 15 -1
 2021 17 16 0
 2021 17 17 -1
 2021 17 18 1
 2021 17 19 3
 2021 17 20 4
 2021 17 21 5
 2021 17 22 2
 2021 17 23 1
 2021 18 0 1
 2021 18 1 -1
 2021 18 2 -2
 2021 18 3 -3
 2021 18 4 -2
 2021 18 5 -1
